date,tempmax,tempmin,temp,humidity
01-01-2024,29,21.1,24.5,76.2
02-01-2024,29.3,20.1,24.1,77
03-01-2024,29,20.3,24.5,74.2
04-01-2024,29.1,20.4,24.6,72.4
05-01-2024,28.2,19.6,23.8,70.3
06-01-2024,30.2,18.9,24,72.9
07-01-2024,29.4,20.2,23.9,73.8
08-01-2024,27.3,21.1,24.2,72.6
09-01-2024,28.1,22.1,24.8,76.2
10-01-2024,30.1,20.6,25.2,71.9
11-01-2024,31.8,22.5,25.8,73.5
12-01-2024,30,21.3,25.4,77.9
13-01-2024,30.1,21.7,25.6,80
14-01-2024,30.2,22.3,25.5,82.6
15-01-2024,30.1,22,25.3,80
16-01-2024,30,21.6,25.2,78.1
17-01-2024,30.7,20.2,24.6,76.1
18-01-2024,30,19.3,24.2,75.7
19-01-2024,30,19.5,24.2,77.6
20-01-2024,30.1,20.6,25.1,76.4
21-01-2024,31,21.2,25.2,78.5
22-01-2024,31,20.4,25.3,77.5
23-01-2024,31,22,25.5,79.5
24-01-2024,31,22,25.8,77.2
25-01-2024,31,22.9,26,76.8
26-01-2024,30,22.6,25.8,77.6
27-01-2024,30,21.8,25.4,76.7
28-01-2024,30,22,25.3,79.1
29-01-2024,29,20.6,24.5,75.9
30-01-2024,30,19,24,74.6
31-01-2024,30,18.6,23.9,79.7
01-02-2024,30.1,21,25.4,80.4
02-02-2024,32,22.7,26.9,78.2
03-02-2024,31.9,22.7,26.7,77.3
04-02-2024,31,22,26.2,78.8
05-02-2024,31.2,22,26.3,78.1
06-02-2024,33,22,26.8,76.4
07-02-2024,33,21.8,26.9,75.7
08-02-2024,33,21.8,26.7,74
09-02-2024,32,23,26.9,76.8
10-02-2024,31.3,23,26.6,79.6
11-02-2024,32,22.9,26.4,74.7
12-02-2024,31.2,20.9,25.5,75.6
13-02-2024,31,21.4,25.5,77.4
14-02-2024,32,21.2,25.7,74.3
15-02-2024,31.4,19,25.2,76.6
16-02-2024,33,18,25,71.5
17-02-2024,33,18.1,25.7,69.7
18-02-2024,33,19.3,25.5,77.3
19-02-2024,34,20.4,26.6,70.8
20-02-2024,34,21,26.4,77
21-02-2024,34,21.9,27.1,70.1
22-02-2024,34.7,23,27.8,75.2
23-02-2024,34,24,28.3,75.8
24-02-2024,33,25,28.2,76.7
25-02-2024,33,24,27.6,72.3
26-02-2024,33,22.4,27.4,72.1
27-02-2024,33,21.8,27.2,71.3
28-02-2024,33.2,22,27.7,68.6
29-02-2024,35.2,22.1,28.2,67.3
01-03-2024,35.1,23.1,28.7,68.8
02-03-2024,35.2,23,28.3,70.9
03-03-2024,35,22,28,70.7
04-03-2024,34.9,22,28,69.2
05-03-2024,35,22,28,71.4
06-03-2024,34,22.2,27.9,73.1
07-03-2024,35.2,22.8,28.3,68.4
08-03-2024,36,23.9,29.5,66.1
09-03-2024,35,24.1,28.9,73.2
10-03-2024,35,24,29.2,68.8
11-03-2024,35,24.2,28.8,70.1
12-03-2024,35.8,24,29.2,69.9
13-03-2024,36,24.9,29.7,69.6
14-03-2024,37,25,30,68.4
15-03-2024,35.1,24.9,29.3,71.1
16-03-2024,35,24.5,29.2,70.4
17-03-2024,34.8,24.7,29,71.1
18-03-2024,35.1,23.8,28.9,69
19-03-2024,34.2,24.8,29.1,68.2
20-03-2024,33.2,23.9,28.1,72.4
21-03-2024,35,23.1,28.4,68.3
22-03-2024,36,23.8,29.2,67.6
23-03-2024,36.2,24.2,29.7,67.9
24-03-2024,36.2,24.7,29.9,67.4
25-03-2024,37,24,29.8,67.2
26-03-2024,36.1,23.2,29.3,64.8
27-03-2024,37,23.8,30,67.3
28-03-2024,37,24.8,30.2,67.6
29-03-2024,37,24.9,30.5,66.4
30-03-2024,39,25.3,30.9,69.2
31-03-2024,37,25,30.7,70.7
